"","year","num_conflicts","n_countries","prop_conflict"
"1",2010,25,172,0.145348837209302
"2",2011,31,172,0.180232558139535
"3",2012,26,172,0.151162790697674
"4",2013,26,172,0.151162790697674
"5",2014,29,172,0.168604651162791
"6",2015,32,172,0.186046511627907
"7",2016,38,172,0.22093023255814
"8",2017,33,172,0.191860465116279
"9",2018,36,172,0.209302325581395
